frame_index,timestamp,character_x,character_y,character_facing,character_confidence,monster_count,monster_centers,a_wave_state,a_wave_direction,a_wave_confidence,a_wave_provenance,registration_ok,registration_confidence,quality_flags
0,0.0,,,unknown,0.0,1,"[[532.0, 701.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
53,2.0073,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
108,4.021533,,,unknown,0.0,1,"[[260.0, 485.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
163,6.042733,,,left,0.55,2,"[[451.0, 673.0], [306.0, 687.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
215,8.091667,,,left,0.55,5,"[[1388.0, 891.0], [203.0, 547.0], [418.0, 535.0], [556.0, 537.0], [1761.0, 887.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
270,10.105933,,,right,0.55,5,"[[424.0, 247.0], [1156.0, 815.0], [1512.0, 813.0], [586.0, 449.0], [1682.0, 817.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
324,12.1271,,,right,0.55,2,"[[456.0, 399.0], [253.0, 401.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
379,14.1344,,,unknown,0.0,2,"[[418.0, 723.0], [94.0, 717.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
434,16.141667,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
488,18.162867,,,unknown,0.0,1,"[[1634.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
542,20.1771,,,unknown,0.0,2,"[[460.0, 379.0], [1306.0, 733.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
593,22.1913,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
646,24.191667,,,unknown,0.0,1,"[[356.0, 571.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
699,26.192,,,unknown,0.0,1,"[[1112.0, 879.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
751,28.227067,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
799,30.234367,,,right,0.55,2,"[[187.0, 449.0], [780.0, 811.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
852,32.255533,,,unknown,0.0,2,"[[454.0, 237.0], [201.0, 443.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
905,34.269767,,,unknown,0.0,3,"[[1398.0, 803.0], [496.0, 445.0], [266.0, 803.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
958,36.277067,,,unknown,0.0,2,"[[924.0, 807.0], [1398.0, 805.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1010,38.284367,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1066,40.3125,,,unknown,0.0,3,"[[386.0, 445.0], [648.0, 697.0], [1355.0, 809.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1119,42.326733,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1175,44.327067,,,left,0.55,1,"[[541.0, 229.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1228,46.3274,,,right,0.55,1,"[[952.0, 809.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1283,48.3347,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1337,50.383667,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1389,52.384,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1443,54.3913,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1496,56.3986,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1551,58.405867,,,left,0.55,1,"[[539.0, 203.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1606,60.434,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1658,62.434333,,,right,0.55,4,"[[744.0, 777.0], [1398.0, 783.0], [1066.0, 777.0], [604.0, 663.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1711,64.4486,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1764,66.462833,,,right,0.55,1,"[[1296.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1818,68.4701,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1872,70.4774,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1925,72.477733,,,left,0.55,3,"[[1548.0, 725.0], [612.0, 365.0], [1418.0, 725.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
1981,74.498933,,,left,0.55,2,"[[1164.0, 725.0], [1347.0, 711.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2034,76.527033,,,right,0.55,1,"[[563.0, 191.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2088,78.5274,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2141,80.555533,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2193,82.5628,718.0,674.0,right,0.1282,1,"[[964.0, 661.0]]",inactive,inactive,0.6188,visual,True,1.0,
2247,84.584,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2299,86.619067,,,right,0.55,1,"[[964.0, 729.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2352,88.674967,,,unknown,0.0,2,"[[414.0, 609.0], [622.0, 611.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2404,90.6753,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2458,92.675633,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2510,94.696833,,,left,0.55,2,"[[1608.0, 727.0], [1246.0, 735.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2561,96.724967,,,left,0.55,1,"[[1212.0, 767.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2614,98.7253,,,unknown,0.0,3,"[[1390.0, 821.0], [610.0, 253.0], [686.0, 819.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2664,100.725633,,,unknown,0.0,1,"[[614.0, 901.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2720,102.753767,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2775,104.802733,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2826,106.8239,,,unknown,0.0,2,"[[676.0, 829.0], [492.0, 817.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2878,108.858967,,,unknown,0.0,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2926,110.894033,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
2982,112.915233,256.0,683.0,right,0.4838,3,"[[390.0, 703.0], [385.0, 493.0], [214.0, 481.0]]",inactive,inactive,0.75,visual,True,1.0,
3036,114.922533,,,right,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3087,116.922867,,,unknown,0.0,1,"[[1221.0, 803.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3140,118.930133,,,unknown,0.0,1,"[[780.0, 799.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3193,120.9305,,,right,0.55,1,"[[434.0, 397.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3249,122.9517,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3304,124.986767,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3360,127.007933,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3414,129.029133,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3468,131.029467,,,left,0.55,1,"[[1182.0, 769.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3521,133.050633,,,unknown,0.0,2,"[[1396.0, 769.0], [1092.0, 765.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3573,135.051,,,unknown,0.0,3,"[[1074.0, 647.0], [528.0, 199.0], [1208.0, 769.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3625,137.058267,,,right,0.55,2,"[[1400.0, 761.0], [1100.0, 761.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3677,139.065567,,,right,0.55,1,"[[456.0, 407.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3732,141.0659,,,left,0.55,1,"[[1006.0, 721.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3783,143.066267,,,left,0.55,0,[],unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3837,145.0805,,,left,0.55,1,"[[1400.0, 751.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3889,147.087767,,,unknown,0.0,3,"[[502.0, 381.0], [590.0, 173.0], [1358.0, 737.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3945,149.102,,,left,0.55,2,"[[1056.0, 769.0], [680.0, 771.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
3999,151.130133,,,unknown,0.0,1,"[[724.0, 763.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
4049,153.1513,196.0,647.0,right,0.1349,1,"[[348.0, 413.0]]",inactive,inactive,0.5312,visual,True,1.0,
4103,155.1725,,,right,0.55,2,"[[578.0, 215.0], [916.0, 771.0]]",unknown,unknown,0.0,visual,True,1.0,character_not_visible;wave_character_missing
